dt	Mode	dhsl	pCa
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
0.001	-2	0	4.5
